categories,app_name,downloads,score
"#5 top grossing art & design, Art & Design""
77,Audiomack: Music Downloader,""Stream and download the best new trending music (full tracks offline data-free) and listen to your local MP3s! Browse music from the best artists in top categories like Hip-Hop, ",ibis Paint X,100000000,4.4
"Business",Intune Company Portal,50000000,2.6
"Travel & Local",Hilton Honors: Book Hotels,10000000,4.5
"Tools",Beats,5000000,3.8
"Communication",Firefox Fast & Private Browser,100000000,4.6
"Social",Telegram X,100000000,4.2
"Lifestyle",Google Home,1000000000,4.2
"Finance",Zelle®,10000000,4.1
"#4 top free news & magazines, News & Magazines""
86,Kikoff - Build Credit Quickly,""Kikoff is the smartest way to build credit fast.Starting under 600? You could jump 25 points your first month.*Pick a plan, starting at just $5 a month.†Make your first pay",Substack,1000000,4.8
"Food & Drink",KFC US - Ordering App,5000000,3.4
"#8 top free travel & local, Travel & Local""
89,Shazam: Find Music & Concerts,""Shazam can identify songs playing around you or in other apps, even with headphones on. Discover artists, song lyrics, and upcoming concerts—all for free. With over 2 billion i",American Airlines,10000000,4.6
"Communication",GroupMe,10000000,4.6
"#6 top free entertainment, Entertainment""
92,DHgate-online wholesale stores,""The DHgate shopping app allows free access to the DHgate wholesale marketplace on the go – connecting you directly to wholesale sellers and getting you cheap prices.The DHgate a",Apple TV,50000000,3.5
"Food & Drink",SONIC Drive-In - Order Online,10000000,4.5
"#4 top free health & fitness, Health & Fitness""
95,Gauth: AI Study Companion,""Gauth is the #1 AI study companion powered by newest AI model! Trusted by millions of users, Gauth offers unlimited answers for all subjects. Try Gauth for all your learning ne",Planet Fitness Workouts,10000000,4.6
"#4 top free news & magazines, News & Magazines""
97,""Nike: Shoes, Apparel & Stories",Local News: Breaking & Latest,5000000,4.5
"Entertainment",YouTube TV: Live TV & more,10000000,4.0
"Lifestyle",Amazon Alexa,100000000,4.2
"#5 top free music & audio, Music & Audio""
101,Files by Google,""✨ Free up space on your device with cleaning recommendations🔍 Find files faster with search and simple browsing↔️ Quickly share files offline with Quick Share☁️ Back up files to the cloud to ",Music Player & MP3 - DDMusic,100000000,4.7
"#4 top free shopping, Shopping""
103,BESTPLAY Play to earn & donate,""✨ Introducing BestPlay: Where casual games meet rewarding experiences ✨Easy to use:1️⃣ Find Fresh GamesNew games recommended just for you, all in one place. Choose your favorites and sta","Whatnot: Shop, Sell, Connect",1000000,4.6
"Finance",GEICO Mobile - Car Insurance,10000000,4.6
"#1 top free travel & local, Travel & Local""
106,Microsoft Copilot,""Microsoft Copilot is the AI companion for everyday life. Talking with Copilot is an easy way to learn, grow and gain confidence, all with the help of the latest OpenAI and Microsoft AI mo",Upside: Cash Back - Gas & Food,10000000,4.6
"Shopping",Lowe's,10000000,4.6
"Finance",Progressive,10000000,4.6
"#4 top grossing tools, Tools""
110,Opera: Private Web Browser,""Your ultimate, no-BS browser – faster, safer, and packed with tools the others wish they had. Free VPN, ad-blocking, tracker-blocking, and total customization, all in one package. Say goodbye ",CoinSnap - Coin Identifier,5000000,4.4
"#4 top grossing music & audio, Music & Audio""
112,Samsung TV Plus - TV & Movies,""Watch Samsung TV Plus on the go with our mobile app. Everything you love about TV at zero cost. Choose from 350+ live TV channels and 1000s of movies and shows on demand, al",Apple Music,100000000,4.6
"Entertainment",Steam,100000000,2.7
"Business",Duo Mobile,10000000,4.7
"#3 top grossing music & audio, Music & Audio""
116,Google Sheets,""Create, edit, and collaborate on spreadsheets from your Android phone or tablet with the Google Sheets app. With Sheets, you can:- Create new spreadsheets or edit existing files- Share spre",Pocket FM: Audio Series,100000000,4.5
"#1 top grossing weather, Weather""
118,Police Scanner - Live Radio,""Download Police Scanner and be the first to listen to the live audio of public safety, wildfire alerts, breaking news, weather radar, major events and crime waves near you anytime.Police ",The Weather Channel - Radar,100000000,4.5
"#4 top free food & drink, Food & Drink""
120,Google News - Daily Headlines,""Google News is a personalized news aggregator that organizes and highlights what’s happening in the world so you can discover more about the stories that matter to you.With Google",Little Caesars,10000000,4.7
"Shopping",Kroger,10000000,4.3
"#2 top grossing sports, Sports""
123,VPN - Super Unlimited Proxy,""■ VPN Super Unlimited Proxy - free VPN for Android100% free Proxy! Totally unlimited bandwidth! Super fast and high VPN speed! The best unlimited free Proxy clients for android.VPN Super Un",GameChanger,1000000,4.6
"#10 top grossing entertainment, Entertainment""
125,""Clapper: Video, Live, Chat",GoodShort - Movies & Dramas,10000000,4.9
"Entertainment","ZEPETO: Avatar, Connect & Live",100000000,4.5
"Tools",Gboard - the Google Keyboard,2147483647,4.5
"Tools",Proxy Browser,100000000,4.1
"Entertainment",MISTPLAY: Play to Earn Money,10000000,4.4
"Entertainment",PolyBuzz: Chat with AI Friends,10000000,4.1
"Shopping",Capital One Shopping,5000000,4.7
"#6 top free business, Business""
133,MLB Ballpark,""The MLB Ballpark app is your mobile companion when visiting your favorite Major League Baseball ballparks. The official MLB ballpark application perfectly complements and personalizes your trip with digit",ADP Mobile Solutions,10000000,4.6
"#3 top free maps & navigation, Maps & Navigation""
135,Microsoft Edge: AI browser,""Microsoft Edge, your AI-powered browser, with Copilot built in to enhance your browsing experience. Using the latest models from OpenAI and Microsoft, Copilot lets you ask ",Waze Navigation & Live Traffic,500000000,4.2
"Shopping",Costco Wholesale,10000000,4.7
"#2 top free house & home, House & Home""
138,Shop: All your favorite brands,""LET’S GO SHOPPING- Earn Shop Cash and spend it in the app. Boost your balance with exclusive offers.- Shop the latest trends and stay connected to your favorite brands, all in on",Realtor.com Real Estate & Rent,10000000,4.7
"Social","Linky AI: Chat, Play, Connect",10000000,4.1
"Communication",Google Voice,10000000,4.3
"Entertainment",Google Play Games,2147483647,4.1
"#8 top free shopping, Shopping""
143,MLB,""The MLB App is the #1 destination for live baseball video and audio, breaking news, trade rumors, scores, standings, and more, directly on your Android device. Stream live or on-demand!**** MLB SUBSCRIPTION MENU *",SHEIN-Shopping Online,500000000,4.0
"Productivity",Google Slides,1000000000,4.0
"Shopping",Best Buy: Shop tech deals,10000000,4.7
"#4 top free entertainment, Entertainment""
147,craigslist,""craigslist: The original online classifieds. Buy, sell, work, hire, rent, share, meet, learn, serve, fall in love, and/or save the world. Founded 1995.All the basics are on craigslist: jobs, housi",DramaBox - Stream Drama Shorts,100000000,4.7
"#4 top free social, Social""
149,Zangi Private Messenger,""ANONYMOUS REGISTRATION - Registration without phone number & without personal contact sharing. Protection from surveillance and account hacking.NO DATA COLLECTION - Your data is stored ONLY on your",Threads,100000000,4.1
"Social","Tumblr—Fandom, Art, Chaos",100000000,4.0
"Tools",VPN Proton: Fast & Secure VPN,10000000,4.7
"#3 top grossing finance, Finance""
153,Psiphon: Fast and Secure VPN,""Welcome to Psiphon, an open source application built on leading-edge, research-driven security and network technologies. With over 150,000,000 downloads, Psiphon, the Internet Freedom VP",Rocket Money - Bills & Budgets,10000000,4.6
"Entertainment",FlickReels - Short Drama & TV,5000000,4.4
"Entertainment",Patreon,10000000,4.8
"Shopping",Instacart: Earn money to shop,5000000,4.2
"Social",Text Free: Second Call Number,10000000,4.4
"#6 top grossing photography, Photography""
159,Messenger,""Messenger is a free messaging app that helps you connect with anyone, anywhere. Stay in touch with your friends and family, explore your interests with people like you, build your community, and sh",Remini - AI Photo Enhancer,100000000,4.2
"#5 top free productivity, Productivity""
161,Contacts,""Back up and sync your contacts across all your devices• Keep your contacts safely backed up to your Google Account• Access your contacts from anywhere you’re signed in, including your next phone• Reco",Grok - AI Assistant,10000000,4.9
"Tools",TeraBox: Cloud Storage Space,100000000,4.5
"#10 top free music & audio, Music & Audio""
164,Southwest Airlines: Travel App,""The Southwest® app allows you to seamlessly book a flight, hotel, car, cruise, or vacation. Quickly secure your next trip, check-in, change or cancel flights, and add extras l",JBL Headphones,10000000,4.6
"#9 top free shopping, Shopping""
166,WhatsApp Business,""Everything you love about WhatsApp plus built-in tools for businessWhatsApp Business is a free-to-download app with built-in tools to help you work smarter, build trust, and grow your business.You ge",Fetch: America’s Rewards App,10000000,4.7
"Entertainment",PlayStation App,100000000,3.6
"Productivity",Microsoft Excel: Spreadsheets,1000000000,4.8
"#8 top free business, Business""
170,Google Family Link,""Google Family Link is a parental controls app that helps you keep your family safer online. Every family’s relationship with technology is unique, so we built tools for you to choose the right balan",Uber - Driver: Drive & Deliver,100000000,4.6
"Entertainment","ViX: TV, Deportes y Noticias",50000000,4.6
"Entertainment",Plex: Stream Movies & TV,50000000,4.4
"Communication","UC Browser-Safe, Fast, Private",1000000000,4.3
"Social",Bluesky,10000000,3.9
"#6 top free shopping, Shopping""
176,Domino's Pizza USA,""Conveniently order Domino’s Pizza from anywhere on your Android phone or tablet. Build your pizza just the way you like it or choose one of our specialty pizzas. Add items from the rest of our oven-",Alibaba.com - B2B marketplace,500000000,4.4
"Entertainment",Talkie: Creative AI Community,10000000,4.5
"Sports",NCAA March Madness Live,5000000,4.7
"#9 top free travel & local, Travel & Local""
180,BURGER KING® App,""Get secret deals and exclusive mobile coupons with the official BURGER KING® app and save like a king! Explore our menu and find your nearest BK® restaurant anytime, anywhere. And in most ",U-Haul,1000000,3.1
"Shopping",AliExpress - Shopping App,500000000,4.5
"#2 top free food & drink, Food & Drink""
183,Google Docs,""Create, edit, and collaborate with others on documents from your Android phone or tablet with the Google Docs app. With Docs you can:- Create new documents or edit existing files- Share documents a",McDonald's,50000000,4.4
"Food & Drink",7-Eleven: Rewards & Shopping,10000000,4.8
"Shopping",Bath & Body Works,5000000,4.4
"Productivity",Google Assistant,1000000000,3.8
"Food & Drink",Chick-fil-A®,10000000,4.6
"#4 top free lifestyle, Lifestyle""
189,Google Translate,""• Text translation: Translate between 108 languages by typing• Tap to Translate: Copy text in any app and tap the Google Translate icon to translate (all languages)• Offline: Translate with no inter",Lemon8 - Lifestyle Community,10000000,3.5
"#2 top free social, Social""
191,Emochi: Chat With Character,""Step into a Unique AI Chat Adventure – Anime, Manga, & More!Discover a world of creative AI chat companions! Emochi lets you chat about your favorite topics—anime, manga, games, and more—while ",TikTok Lite - Faster TikTok,1000000,4.4
"Entertainment",JustPlay: Earn Money or Donate,10000000,4.5
"Finance",State Farm®,10000000,4.6
"Finance",Remitly: Send Money & Transfer,10000000,4.8
"#7 top grossing health & fitness, Health & Fitness""
196,UKG Pro,""Simple and intuitive by design, the UKG Pro mobile app gives you instant, secure access to relevant employee information, tools, and insights helping you stay productive and engaged on the ",Impulse - Brain Training Games,10000000,4.5
"#4 top free video players & editors, Video Players & Editors""
198,Dunkin’,""Order ahead & skip the wait!Ordering through the Dunkin’ app is fast, easy and contactless! All app users can place their order ahead through the Dunkin’ app and skip the wait in ",YouTube Studio,100000000,4.3
"#2 top free business, Business""
200,Pizza Hut - Delivery & Takeout,""Download the official Pizza Hut app for the easiest way to order your favorite pizza, wings, desserts and more! We’ve added contactless ordering features, so you and your family can get ",Microsoft Teams,100000000,4.6
"Tools",Ai Browser - Smarter & Safer,10000000,4.8
"Shopping",The Home Depot,10000000,4.6
"Communication",Opera Mini: Fast Web Browser,500000000,4.7
"#4 top free communication, Communication""
205,Chipotle,""Like a tiny Chipotle that lives in your phone, our app lets you order real, delicious food for pickup or delivery.And…ABOUT CHIPOTLE REWARDS• Members bank points automatically for in-app orders.• In",Telegram,1000000000,4.2
"Productivity",Link to Windows,1000000000,4.0
"Communication",T-Mobile Scam Shield,10000000,4.6
"#1 top grossing personalization, Personalization""
209,Starbucks,""Ordering ahead is just a download away. Get the Starbucks® app for an easier, more rewarding way to enjoy your faves. Why wait?Tap Into Easy OrderingOrder ahead in the app, then just pick u",Zedge™ Wallpapers & Ringtones,500000000,4.7
"Communication","Brave Private Web Browser, VPN",100000000,4.7
"Shopping",Sam’s Club: Shopping made easy,10000000,4.9
"Entertainment",Prime Video,500000000,4.0
"Shopping",Target,10000000,3.7
"#2 top free video players & editors, Video Players & Editors""
215,Okta Verify,""Okta Verify is a lightweight app that allows you to securely access your apps via 2-step verification, ensuring that you, and only you, can access your app accounts.While you ",TikTok Studio,10000000,4.7
"Productivity",Smart Home Manager,5000000,4.5
"Travel & Local",Frontier Airlines,5000000,4.2
